date,subscribers,views
2023-09-23,17200000,3732963658
2023-09-24,17200097,3732968860
2023-09-25,17200210,3732971839
2023-09-26,17200304,3732982265
2023-09-27,17200335,3732981534
2023-09-28,17200288,3732991400
2023-09-29,17200537,3732988127
2023-09-30,17200754,3732995965
2023-10-01,17200879,3733013898
2023-10-02,17200857,3733016584
2023-10-03,17200943,3733027305
2023-10-04,17200867,3733040740
2023-10-05,17201135,3733002684
2023-10-06,17201403,3733034520
2023-10-07,17201381,3733035243
2023-10-08,17201467,3733044297
2023-10-09,17201723,3733033306
2023-10-10,17201782,3733044078
2023-10-11,17201956,3733071384
2023-10-12,17201545,3733057278
2023-10-13,17201863,3733107837
2023-10-14,17202183,3733074115
2023-10-15,17201992,3733071228
2023-10-16,17201293,3733082894
2023-10-17,17202367,3733069658
2023-10-18,17203094,3733093122
2023-10-19,17201734,3733171594
2023-10-20,17202434,3733064163
2023-10-21,17203174,3733118479
2023-10-22,17203547,3733098991
2023-10-23,17203139,3733129102
2023-10-24,17203040,3733165751
2023-10-25,17203468,3733134116
2023-10-26,17203894,3733089220
2023-10-27,17202660,3733064336
2023-10-28,17203289,3733132912
2023-10-29,17203817,3733188655
2023-10-30,17202924,3733163005
2023-10-31,17203623,3733197398
2023-11-01,17203990,3733027528
2023-11-02,17204684,3733156126
2023-11-03,17204390,3733150035
2023-11-04,17203587,3733149787
2023-11-05,17202902,3733146988
2023-11-06,17205196,3733204530
2023-11-07,17205612,3733144457
2023-11-08,17204574,3733198051
2023-11-09,17204535,3733202171
2023-11-10,17206573,3733133979
2023-11-11,17205057,3733147436
2023-11-12,17206244,3733137973
2023-11-13,17205753,3733239701
2023-11-14,17205139,3733219141
2023-11-15,17206441,3733159747
2023-11-16,17203663,3733324501
2023-11-17,17204379,3733345239
2023-11-18,17206360,3733139691
2023-11-19,17205140,3733345486
2023-11-20,17205871,3733196896
2023-11-21,17205835,3733148685
2023-11-22,17205272,3733209121
2023-11-23,17206632,3733266059
2023-11-24,17207031,3733315825
2023-11-25,17206845,3733307702
2023-11-26,17205334,3733323501
2023-11-27,17207079,3733253071
2023-11-28,17206782,3733372070
2023-11-29,17204036,3733310323
2023-11-30,17205679,3733297769
2023-12-01,17205843,3733316476
2023-12-02,17206832,3733286696
2023-12-03,17204961,3733338024
2023-12-04,17205648,3733392427
2023-12-05,17206913,3733288350
2023-12-06,17208792,3733314995
2023-12-07,17208677,3733283021
2023-12-08,17209554,3733427701
2023-12-09,17209452,3733398436
2023-12-10,17206911,3733397325
2023-12-11,17205794,3733387713
2023-12-12,17206836,3733444660
2023-12-13,17208133,3733320605
2023-12-14,17210312,3733437300
2023-12-15,17209424,3733377538
2023-12-16,17209424,3733423797
2023-12-17,17206813,3733234397
2023-12-18,17207797,3733432367
2023-12-19,17207790,3733328868
2023-12-20,17211117,3733262022
2023-12-21,17211291,3733444295
2023-12-22,17208947,3733514370
2023-12-23,17207213,3733397000
2023-12-24,17211456,3733254918
2023-12-25,17207314,3733288499
2023-12-26,17206083,3733369976
2023-12-27,17209231,3733419425
2023-12-28,17209686,3733498623
2023-12-29,17209358,3733334852
2023-12-30,17209519,3733478653
2023-12-31,17209099,3733466161
2024-01-01,17211545,3733510914
2024-01-02,17208313,3733495479
2024-01-03,17212873,3733511459
2024-01-04,17210383,3733442942
2024-01-05,17209891,3733466617
2024-01-06,17206416,3733677985
2024-01-07,17211462,3733465136
2024-01-08,17211273,3733643857
2024-01-09,17209426,3733266303
2024-01-10,17211693,3733391576
2024-01-11,17211974,3733567780
2024-01-12,17211073,3733311642
2024-01-13,17211662,3733505441
2024-01-14,17210738,3733372671
2024-01-15,17210871,3733625215
2024-01-16,17215051,3733614663
2024-01-17,17212829,3733626417
2024-01-18,17206477,3733386534
2024-01-19,17209261,3733629991
2024-01-20,17214618,3733578811
2024-01-21,17214917,3733625706
2024-01-22,17208903,3733576048
2024-01-23,17210083,3733494068
2024-01-24,17212062,3733654664
2024-01-25,17210112,3733522932
2024-01-26,17215687,3733773160
2024-01-27,17210526,3733609696
2024-01-28,17213908,3733505639
2024-01-29,17209900,3733345386
2024-01-30,17212336,3733444771
2024-01-31,17210971,3733595970
2024-02-01,17214161,3733652983
2024-02-02,17208042,3733702263
2024-02-03,17214896,3733694441
2024-02-04,17211793,3733504608
2024-02-05,17216194,3733671416
2024-02-06,17211071,3733540486
2024-02-07,17215356,3733475804
2024-02-08,17209684,3733784566
2024-02-09,17213784,3733894265
2024-02-10,17214343,3733564499
2024-02-11,17214428,3733441959
2024-02-12,17215430,3733589217
2024-02-13,17219089,3733611606
2024-02-14,17219449,3733554024
2024-02-15,17214682,3733618210
2024-02-16,17216778,3733752638
2024-02-17,17214169,3733611296
2024-02-18,17212537,3733656935
2024-02-19,17213796,3733773537
2024-02-20,17213662,3733528314
2024-02-21,17213768,3733578695
2024-02-22,17212693,3733684613
2024-02-23,17215733,3733990012
2024-02-24,17214203,3733835531
2024-02-25,17215658,3733695405
2024-02-26,17211733,3733689080
2024-02-27,17216573,3734048963
2024-02-28,17216620,3733838374
2024-02-29,17219680,3733877950
2024-03-01,17210054,3733516690
2024-03-02,17214627,3733905293
2024-03-03,17215802,3733820255
2024-03-04,17215359,3733724626
2024-03-05,17202791,3733601422
2024-03-06,17216202,3733801699
2024-03-07,17211913,3733645732
2024-03-08,17212882,3733493937
2024-03-09,17214865,3733615796
2024-03-10,17216698,3734088833
2024-03-11,17219777,3733662634
2024-03-12,17220702,3734004850
2024-03-13,17213496,3733995413
2024-03-14,17221361,3733861765
2024-03-15,17213346,3733605220
2024-03-16,17212598,3733658416
2024-03-17,17217038,3733873017
2024-03-18,17221880,3733932132
2024-03-19,17219445,3733833934
2024-03-20,17218215,3733702922
2024-03-21,17225251,3733614040
2024-03-22,17220749,3734016246
2024-03-23,17221534,3733653191
2024-03-24,17211161,3733822097
2024-03-25,17219724,3733901815
2024-03-26,17217747,3733809581
2024-03-27,17214512,3733827341
2024-03-28,17218232,3733752559
2024-03-29,17221580,3733681705
2024-03-30,17226649,3733797018
2024-03-31,17219896,3733947426
2024-04-01,17225368,3734014979
2024-04-02,17226868,3734016477
2024-04-03,17210229,3734054146
2024-04-04,17220648,3733819512
2024-04-05,17223853,3734087097
2024-04-06,17219536,3733482882
2024-04-07,17215095,3734201547
2024-04-08,17225217,3734227957
2024-04-09,17220405,3733933391
2024-04-10,17217490,3733864825
2024-04-11,17221698,3733956435
2024-04-12,17223906,3733989826
2024-04-13,17218353,3734225679
2024-04-14,17228865,3733835823
2024-04-15,17224282,3733990446
2024-04-16,17219451,3734042209
2024-04-17,17225177,3733945388
2024-04-18,17218767,3733946872
2024-04-19,17222129,3733817798
2024-04-20,17229417,3733950722
2024-04-21,17214568,3733846594
2024-04-22,17220758,3733672428
2024-04-23,17219615,3733472657
2024-04-24,17217977,3733909929
2024-04-25,17220621,3734191246
2024-04-26,17219024,3734225993
2024-04-27,17220498,3733422175
2024-04-28,17222301,3733794447
2024-04-29,17223559,3734265956
2024-04-30,17218512,3733966660
2024-05-01,17224622,3733826925
2024-05-02,17214803,3734132057
2024-05-03,17221463,3734222045
2024-05-04,17225333,3733915899
2024-05-05,17221117,3734249344
2024-05-06,17218852,3734058204
2024-05-07,17228416,3733793266
2024-05-08,17217457,3734120780
2024-05-09,17223617,3733831597
2024-05-10,17223231,3733938478
2024-05-11,17214865,3734237564
2024-05-12,17222489,3733997884
2024-05-13,17219171,3734215566
2024-05-14,17223767,3734395388
2024-05-15,17222375,3733953289
2024-05-16,17225604,3734471312
2024-05-17,17221869,3733731247
2024-05-18,17230345,3734253826
2024-05-19,17223038,3734116771
2024-05-20,17219943,3733983111
2024-05-21,17221767,3734274255
2024-05-22,17230554,3733539413
2024-05-23,17220519,3733788598
2024-05-24,17224255,3734296973
2024-05-25,17219691,3734580935
2024-05-26,17227608,3734120816
2024-05-27,17228294,3734303529
2024-05-28,17219651,3734306952
2024-05-29,17223249,3734061504
2024-05-30,17224675,3734374717
2024-05-31,17222320,3734110010
2024-06-01,17219811,3734111673
2024-06-02,17220963,3734239755
2024-06-03,17228601,3734220394
2024-06-04,17231240,3734199640
2024-06-05,17224128,3734317902
2024-06-06,17226566,3734142841
2024-06-07,17229501,3734169876
2024-06-08,17220619,3734482103
2024-06-09,17238885,3733944711
2024-06-10,17233733,3733935886
2024-06-11,17225480,3734463176
2024-06-12,17235618,3734353095
2024-06-13,17227102,3733846564
2024-06-14,17228967,3733966278
